Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Treatment_Profile
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Vascular,Hyaluronic Acid + Licorice Extract + Caffeine,1% + 2% + 3%,"Hydrates and plumps the skin, Lightens dark spots and evens skin tone, Improves blood circulation under eyes","Hyaluronic Acid(1%) + Licorice Extract(2%) + Caffeine(3%) -> Hydrates and plumps the skin, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dark Spots,General,Vitamin C + Niacinamide + Licorice Extract,10% + 5% + 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone","Vitamin C(10%) + Niacinamide(5%) + Licorice Extract(2%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Dullness,General,Green Tea Extract + Hyaluronic Acid + Niacinamide,3% + 1% + 5%,"Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Reduces inflammation and regulates sebum","Green Tea Extract(3%) + Hyaluronic Acid(1%) + Niacinamide(5%) -> Provides antioxidant and anti-inflammatory benefits, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Hyperpigmentation,General,Niacinamide + Tranexamic Acid + Alpha Arbutin,5% + 2% + 2%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots","Niacinamide(5%) + Tranexamic Acid(2%) + Alpha Arbutin(2%) -> Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Open Pores,General,Niacinamide + Salicylic Acid + Azelaic Acid,5% + 2% + 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","Niacinamide(5%) + Salicylic Acid(2%) + Azelaic Acid(10%) -> Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Redness,General,Green Tea Extract + Niacinamide + Chamomile Extract,3% + 5% + 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Calms redness and irritation","Green Tea Extract(3%) + Niacinamide(5%) + Chamomile Extract(1%) -> Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Calms redness and irritation"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Sun Tan,General,Alpha Arbutin + Aloe Vera + Licorice Extract,2% + 2% + 1%,"Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone","Alpha Arbutin(2%) + Aloe Vera(2%) + Licorice Extract(1%) -> Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Whiteheads / Blackheads,General,Salicylic Acid + Zinc PCA + Glycolic Acid,2% + 1% + 1%,"Unclogs pores and removes excess oil, Controls sebum production, Exfoliates dead skin cells and smooths skin","Salicylic Acid(2%) + Zinc PCA(1%) + Glycolic Acid(1%) -> Unclogs pores and removes excess oil, Controls sebum production, Exfoliates dead skin cells and smooths skin"
25-36,Combination,T-Zone Oily Cheeks Dry,No,Wrinkles,General,Hyaluronic Acid + Retinol + Coenzyme Q10,1% + 0.1% + 1%,"Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair","Hyaluronic Acid(1%) + Retinol(0.1%) + Coenzyme Q10(1%) -> Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,Niacinamide + Salicylic Acid + Zinc PCA,5% + 2% + 1%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Controls sebum production","Niacinamide(5%) + Salicylic Acid(2%) + Zinc PCA(1%) -> Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Controls sebum production"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,Benzoyl Peroxide + Niacinamide + Zinc PCA,2.5% + 5% + 1%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production","Benzoyl Peroxide(2.5%) + Niacinamide(5%) + Zinc PCA(1%) -> Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Fungal,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,2% + 2.5% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) + Green Tea Extract(3%) -> Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cystic,Niacinamide + Salicylic Acid + Benzoyl Peroxide,5% + 2% + 2.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria","Niacinamide(5%) + Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) -> Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Pigmented,Niacinamide + Hyaluronic Acid + Vitamin C,5% + 1% + 10%,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Brightens skin and reduces pigmentation","Niacinamide(5%) + Hyaluronic Acid(1%) + Vitamin C(10%) -> Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Vascular,Caffeine + Hyaluronic Acid + Vitamin C,3% + 1% + 10%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Brightens skin and reduces pigmentation","Caffeine(3%) + Hyaluronic Acid(1%) + Vitamin C(10%) -> Improves blood circulation under eyes, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Spots,General,Vitamin C + Alpha Arbutin + Kojic Acid,10% + 2% + 1%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration","Vitamin C(10%) + Alpha Arbutin(2%) + Kojic Acid(1%) -> Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Dullness,General,Vitamin C + Niacinamide + Hyaluronic Acid,10% + 5% + 1%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin","Vitamin C(10%) + Niacinamide(5%) + Hyaluronic Acid(1%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Hyperpigmentation,General,Tranexamic Acid + Alpha Arbutin + Vitamin C,2% + 2% + 10%,"Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation","Tranexamic Acid(2%) + Alpha Arbutin(2%) + Vitamin C(10%) -> Reduces melanin production and pigmentation, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Open Pores,General,Niacinamide + Azelaic Acid + Green Tea Extract,5% + 10% + 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Azelaic Acid(10%) + Green Tea Extract(3%) -> Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Redness,General,Niacinamide + Centella Asiatica + Green Tea Extract,5% + 3% + 1%,"Reduces inflammation and regulates sebum, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Centella Asiatica(3%) + Green Tea Extract(1%) -> Reduces inflammation and regulates sebum, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Sun Tan,General,Aloe Vera + Alpha Arbutin + Vitamin C,2% + 10% + 1%,"Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation","Aloe Vera(2%) + Alpha Arbutin(10%) + Vitamin C(1%) -> Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Whiteheads / Blackheads,General,Salicylic Acid + Zinc PCA + Niacinamide,2% + 5% + 1%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces inflammation and regulates sebum","Salicylic Acid(2%) + Zinc PCA(5%) + Niacinamide(1%) -> Unclogs pores and removes excess oil, Controls sebum production, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Wrinkles,General,Coenzyme Q10 + Niacinamide + Peptides,5% + 1% + 1%,"Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness","Coenzyme Q10(5%) + Niacinamide(1%) + Peptides(1%) -> Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,Green Tea Extract + Salicylic Acid + Niacinamide,3% + 2% + 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","Green Tea Extract(3%) + Salicylic Acid(2%) + Niacinamide(5%) -> Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,Zinc PCA + Benzoyl Peroxide + Azelaic Acid,2.5% + 10% + 1%,"Controls sebum production, Kills acne-causing bacteria, Reduces acne and improves skin texture","Zinc PCA(2.5%) + Benzoyl Peroxide(10%) + Azelaic Acid(1%) -> Controls sebum production, Kills acne-causing bacteria, Reduces acne and improves skin texture"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Fungal,Benzoyl Peroxide + Azelaic Acid + Niacinamide,2.5% + 10% + 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum","Benzoyl Peroxide(2.5%) + Azelaic Acid(10%) + Niacinamide(5%) -> Kills acne-causing bacteria, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cystic,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,2% + 2.5% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) + Green Tea Extract(3%) -> Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Pigmented,Caffeine + Hyaluronic Acid + Vitamin C,3% + 1% + 10%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Brightens skin and reduces pigmentation","Caffeine(3%) + Hyaluronic Acid(1%) + Vitamin C(10%) -> Improves blood circulation under eyes, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Vascular,Caffeine + Niacinamide + Licorice Extract,3% + 5% + 2%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone","Caffeine(3%) + Niacinamide(5%) + Licorice Extract(2%) -> Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Dark Spots,General,Vitamin C + Kojic Acid + Niacinamide,10% + 1% + 5%,"Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum","Vitamin C(10%) + Kojic Acid(1%) + Niacinamide(5%) -> Brightens skin and reduces pigmentation, Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Dullness,General,Niacinamide + Lactic Acid + Green Tea Extract,5% + 3% + 1%,"Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits","Niacinamide(5%) + Lactic Acid(3%) + Green Tea Extract(1%) -> Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Hyperpigmentation,General,Niacinamide + Alpha Arbutin + Vitamin C,5% + 2% + 10%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation","Niacinamide(5%) + Alpha Arbutin(2%) + Vitamin C(10%) -> Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Open Pores,General,Green Tea Extract + Azelaic Acid + Clay,3% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores","Green Tea Extract(3%) + Azelaic Acid(10%) + Clay(1%) -> Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Absorbs excess oil and tightens pores"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Redness,General,Aloe Vera + Green Tea Extract + Chamomile Extract,3% + 1% + 1%,"Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation","Aloe Vera(3%) + Green Tea Extract(1%) + Chamomile Extract(1%) -> Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Sun Tan,General,Aloe Vera + Alpha Arbutin + Niacinamide,2% + 5% + 1%,"Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum","Aloe Vera(2%) + Alpha Arbutin(5%) + Niacinamide(1%) -> Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Whiteheads / Blackheads,General,Zinc PCA + Willow Bark Extract + Niacinamide,5% + 1% + 1%,"Controls sebum production, Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum","Zinc PCA(5%) + Willow Bark Extract(1%) + Niacinamide(1%) -> Controls sebum production, Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum"
25-36,Combination,T-Zone Dry Cheeks Oily,No,Wrinkles,General,Coenzyme Q10 + Niacinamide + Peptides,5% + 1% + 1%,"Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness","Coenzyme Q10(5%) + Niacinamide(1%) + Peptides(1%) -> Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
37-45,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Green Tea Extract + Benzoyl Peroxide,3% + 2.5% + 1%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","Zinc PCA(3%) + Green Tea Extract(2.5%) + Benzoyl Peroxide(1%) -> Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
37-45,Normal,Normal to Dry,Yes,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Zinc PCA,10% + 3% + 1%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","Azelaic Acid(10%) + Green Tea Extract(3%) + Zinc PCA(1%) -> Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
37-45,Normal,Normal to Dry,Yes,Acne,Fungal,Niacinamide + Salicylic Acid + Benzoyl Peroxide,5% + 2% + 2.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria","Niacinamide(5%) + Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) -> Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
37-45,Normal,Normal to Dry,Yes,Acne,Cystic,Salicylic Acid + Niacinamide + Azelaic Acid,2% + 5% + 10%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","Salicylic Acid(2%) + Niacinamide(5%) + Azelaic Acid(10%) -> Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
37-45,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,Vitamin C + Niacinamide + Caffeine,10% + 5% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Improves blood circulation under eyes","Vitamin C(10%) + Niacinamide(5%) + Caffeine(3%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Improves blood circulation under eyes"
37-45,Normal,Normal to Dry,Yes,Dark Circles,Vascular,Hyaluronic Acid + Niacinamide + Caffeine,1% + 5% + 3%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation","Hyaluronic Acid(1%) + Niacinamide(5%) + Caffeine(3%) -> Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
37-45,Normal,Normal to Dry,Yes,Dark Spots,General,Alpha Arbutin + Kojic Acid + Niacinamide,2% + 1% + 5%,"Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum","Alpha Arbutin(2%) + Kojic Acid(1%) + Niacinamide(5%) -> Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Dullness,General,Green Tea Extract + Lactic Acid + Niacinamide,3% + 5% + 1%,"Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum","Green Tea Extract(3%) + Lactic Acid(5%) + Niacinamide(1%) -> Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Hyperpigmentation,General,Alpha Arbutin + Tranexamic Acid + Niacinamide,2% + 2% + 5%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum","Alpha Arbutin(2%) + Tranexamic Acid(2%) + Niacinamide(5%) -> Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Open Pores,General,Green Tea Extract + Azelaic Acid + Niacinamide,3% + 10% + 5%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum","Green Tea Extract(3%) + Azelaic Acid(10%) + Niacinamide(5%) -> Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Redness,General,Chamomile Extract + Centella Asiatica + Niacinamide,5% + 1% + 1%,"Calms redness and irritation, Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum","Chamomile Extract(5%) + Centella Asiatica(1%) + Niacinamide(1%) -> Calms redness and irritation, Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Sun Tan,General,Alpha Arbutin + Aloe Vera + Vitamin C,2% + 10% + 1%,"Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation","Alpha Arbutin(2%) + Aloe Vera(10%) + Vitamin C(1%) -> Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation"
37-45,Normal,Normal to Dry,Yes,Whiteheads / Blackheads,General,Salicylic Acid + Glycolic Acid + Niacinamide,2% + 5% + 1%,"Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum","Salicylic Acid(2%) + Glycolic Acid(5%) + Niacinamide(1%) -> Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum"
37-45,Normal,Normal to Dry,Yes,Wrinkles,General,Niacinamide + Coenzyme Q10 + Retinol,5% + 0.1% + 1%,"Reduces inflammation and regulates sebum, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles","Niacinamide(5%) + Coenzyme Q10(0.1%) + Retinol(1%) -> Reduces inflammation and regulates sebum, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles"
37-45,Normal,Normal to Dry,No,Acne,Comedonal,Zinc PCA + Azelaic Acid + Green Tea Extract,10% + 3% + 1%,"Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","Zinc PCA(10%) + Azelaic Acid(3%) + Green Tea Extract(1%) -> Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
37-45,Normal,Normal to Dry,No,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Azelaic Acid,2% + 3% + 10%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","Salicylic Acid(2%) + Green Tea Extract(3%) + Azelaic Acid(10%) -> Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
37-45,Normal,Normal to Dry,No,Acne,Fungal,Benzoyl Peroxide + Niacinamide + Azelaic Acid,2.5% + 5% + 10%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","Benzoyl Peroxide(2.5%) + Niacinamide(5%) + Azelaic Acid(10%) -> Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
37-45,Normal,Normal to Dry,No,Acne,Cystic,Green Tea Extract + Salicylic Acid + Benzoyl Peroxide,3% + 2% + 2.5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Kills acne-causing bacteria","Green Tea Extract(3%) + Salicylic Acid(2%) + Benzoyl Peroxide(2.5%) -> Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
37-45,Normal,Normal to Dry,No,Dark Circles,Pigmented,Caffeine + Caffeine + Hyaluronic Acid,3% + 3% + 1%,"Improves blood circulation under eyes, Reduces puffiness and improves circulation, Hydrates and plumps the skin","Caffeine(3%) + Caffeine(3%) + Hyaluronic Acid(1%) -> Improves blood circulation under eyes, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
37-45,Normal,Normal to Dry,No,Dark Circles,Vascular,Vitamin C + Niacinamide + Caffeine,10% + 5% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation","Vitamin C(10%) + Niacinamide(5%) + Caffeine(3%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
37-45,Normal,Normal to Dry,No,Dark Spots,General,Alpha Arbutin + Vitamin C + Licorice Extract,2% + 10% + 2%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone","Alpha Arbutin(2%) + Vitamin C(10%) + Licorice Extract(2%) -> Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
37-45,Normal,Normal to Dry,No,Dullness,General,Vitamin C + Lactic Acid + Hyaluronic Acid,10% + 1% + 1%,"Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Hydrates and plumps the skin","Vitamin C(10%) + Lactic Acid(1%) + Hyaluronic Acid(1%) -> Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Hydrates and plumps the skin"
37-45,Normal,Normal to Dry,No,Hyperpigmentation,General,Alpha Arbutin + Niacinamide + Vitamin C,2% + 5% + 10%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation","Alpha Arbutin(2%) + Niacinamide(5%) + Vitamin C(10%) -> Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
37-45,Normal,Normal to Dry,No,Open Pores,General,Clay + Green Tea Extract + Azelaic Acid,3% + 10% + 1%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","Clay(3%) + Green Tea Extract(10%) + Azelaic Acid(1%) -> Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
37-45,Normal,Normal to Dry,No,Redness,General,Niacinamide + Green Tea Extract + Chamomile Extract,5% + 3% + 1%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation","Niacinamide(5%) + Green Tea Extract(3%) + Chamomile Extract(1%) -> Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation"
37-45,Normal,Normal to Dry,No,Sun Tan,General,Licorice Extract + Alpha Arbutin + Aloe Vera,2% + 2% + 1%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin","Licorice Extract(2%) + Alpha Arbutin(2%) + Aloe Vera(1%) -> Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin"
37-45,Normal,Normal to Dry,No,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid + Glycolic Acid,2% + 1% + 1%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin","Willow Bark Extract(2%) + Salicylic Acid(1%) + Glycolic Acid(1%) -> Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
37-45,Normal,Normal to Dry,No,Wrinkles,General,Niacinamide + Retinol + Hyaluronic Acid,5% + 0.1% + 1%,"Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles, Hydrates and plumps the skin","Niacinamide(5%) + Retinol(0.1%) + Hyaluronic Acid(1%) -> Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles, Hydrates and plumps the skin"
37-45,Normal,Normal to Oily,Yes,Acne,Comedonal,Benzoyl Peroxide + Green Tea Extract + Azelaic Acid,2.5% + 3% + 10%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","Benzoyl Peroxide(2.5%) + Green Tea Extract(3%) + Azelaic Acid(10%) -> Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
37-45,Normal,Normal to Oily,Yes,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Azelaic Acid,2% + 3% + 10%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","Salicylic Acid(2%) + Green Tea Extract(3%) + Azelaic Acid(10%) -> Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
37-45,Normal,Normal to Oily,Yes,Acne,Fungal,Salicylic Acid + Niacinamide + Azelaic Acid,2% + 5% + 10%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","Salicylic Acid(2%) + Niacinamide(5%) + Azelaic Acid(10%) -> Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
